date,open,high,low,close,adjclose,volume,ticker,company
2022-01-04,78800.0,79200.0,78300.0,78700.0,72762.8671875,12427416,005930.KS,삼성전자
2022-01-05,78800.0,79000.0,76400.0,77400.0,71560.9375,25470640,005930.KS,삼성전자
2022-01-06,76700.0,77600.0,76600.0,76900.0,71098.671875,12931954,005930.KS,삼성전자
2022-01-07,78100.0,78400.0,77400.0,78300.0,72393.0390625,15163757,005930.KS,삼성전자
2022-01-10,78100.0,78100.0,77100.0,78000.0,72115.6875,9947422,005930.KS,삼성전자
2022-01-11,78400.0,79000.0,78000.0,78900.0,72947.78125,13221123,005930.KS,삼성전자
2022-01-12,79500.0,79600.0,78600.0,78900.0,72947.78125,11000502,005930.KS,삼성전자
2022-01-13,79300.0,79300.0,77900.0,77900.0,72023.234375,13889401,005930.KS,삼성전자
2022-01-14,77700.0,78100.0,77100.0,77300.0,71468.4921875,10096725,005930.KS,삼성전자
2022-01-17,77600.0,77800.0,76900.0,77500.0,71653.3984375,8785122,005930.KS,삼성전자
2022-01-18,77600.0,77800.0,76600.0,77000.0,71191.125,9592788,005930.KS,삼성전자
2022-01-19,76500.0,76900.0,76100.0,76300.0,70543.9296875,10598290,005930.KS,삼성전자
2022-01-20,76200.0,76700.0,75900.0,76500.0,70728.84375,9708168,005930.KS,삼성전자
2022-01-21,75800.0,75800.0,74700.0,75600.0,69896.7421875,15774888,005930.KS,삼성전자
2022-01-24,75400.0,75800.0,74700.0,75100.0,69434.46875,13691134,005930.KS,삼성전자
2022-01-25,74800.0,75000.0,73200.0,74000.0,68417.4453125,17766704,005930.KS,삼성전자
2022-01-26,74000.0,74000.0,74000.0,74000.0,68417.4453125,0,005930.KS,삼성전자
2022-01-27,73800.0,74000.0,71300.0,71300.0,65921.140625,22274777,005930.KS,삼성전자
2022-01-28,71300.0,73700.0,71200.0,73300.0,67770.2578125,21367447,005930.KS,삼성전자
2022-02-03,74900.0,74900.0,73300.0,73300.0,67770.2578125,17744721,005930.KS,삼성전자
2022-02-04,74300.0,74600.0,73400.0,74000.0,68417.4453125,12730034,005930.KS,삼성전자
2022-02-07,73500.0,73600.0,72400.0,73000.0,67492.8984375,14240838,005930.KS,삼성전자
